%
% Comments go after a '%' sign.
%
%
% Relation: 18F0269
%
%
% Attributes: 8     Instances: 8820
%
%

@relation 18F0269

@attribute 'command' numeric
@attribute 'extradata' numeric
@attribute 'requirement' numeric
@attribute 'frame_window_start' numeric
@attribute 'frame_window_end' numeric
@attribute 'starting_frame' numeric
@attribute 'move' numeric
@attribute 'option' {'auto','manual'}

@data
0,0,0,1,1,1,32769,'auto'
32768,0,0,0,0,0,32769,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,17,1,37,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,43,43,43,345,'manual'
144,2,34,43,43,43,32787,'manual'
144,2,36,43,43,43,323,'manual'
144,2,38,43,43,43,327,'manual'
584,2,32,43,43,43,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,17,1,37,1,2171,'auto'
144,3,40,40,40,40,342,'manual'
144,4,0,40,40,40,341,'manual'
584,3,0,40,40,40,343,'manual'
32768,5,0,50,32767,50,32776,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
144,3,40,40,40,40,342,'manual'
144,4,0,40,40,40,341,'manual'
584,3,0,40,40,40,343,'manual'
32768,5,0,50,32767,50,32776,'manual'
0,0,2,1,25,1,2168,'auto'
0,0,12,1,25,1,2175,'auto'
0,0,7,1,25,1,2173,'auto'
0,0,17,1,25,1,2171,'auto'
0,0,22,27,32767,40,373,'auto'
32768,0,0,40,32767,40,32776,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,17,1,37,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,42,42,42,345,'manual'
144,2,34,42,42,42,32787,'manual'
144,2,36,42,42,42,323,'manual'
144,2,38,42,42,42,327,'manual'
584,2,32,42,42,42,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,17,1,37,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,42,42,42,345,'manual'
144,2,34,42,42,42,32787,'manual'
144,2,36,42,42,42,323,'manual'
